date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2022-01-31,NJD,3,1,4,3,5,21.666666666666668,W,6,4,,regular_season,2021-22,8481033,A. Schmid,False,2.0,False,1.4,3.7439,0.9044912182366674
2022-02-01,NJD,1,1,2,3,3,15.466666666666669,W,7,1,,regular_season,2021-22,8476903,J. Gillies,False,1.0,True,1.8,3.7439,0.9097752075365212
2022-02-07,CAR,2,0,2,2,7,20.4,W,4,3,,regular_season,2021-22,8475883,F. Andersen,False,6.0,False,2.0,2.4634,0.9147207424571797
2022-02-10,CGY,0,1,1,-1,8,19.53333333333333,L,2,5,,regular_season,2021-22,8474593,J. Markstrom,False,3.0,False,2.4,2.5366,0.912551112420466
2022-02-12,VAN,1,0,1,-1,7,22.23333333333333,L,2,3,,regular_season,2021-22,8477967,T. Demko,False,2.0,False,2.2,2.878,0.9169281679261072
2022-02-14,SEA,0,2,2,1,1,16.883333333333333,W,6,2,,regular_season,2021-22,8475831,P. Grubauer,False,2.0,False,2.0,3.4691,0.9059009060646713
2022-02-17,PIT,1,1,2,1,3,15.7,W,4,1,,regular_season,2021-22,8477465,T. Jarry,False,3.0,False,1.6,2.7927,0.9166075522614002
2022-02-19,STL,0,0,0,-2,2,21.23333333333333,L,3,6,,regular_season,2021-22,8478024,V. Husso,False,2.0,False,1.6,2.9512,0.9160889707872548
2022-02-21,MTL,0,0,0,-1,1,20.616666666666667,L,2,5,,regular_season,2021-22,8478470,S. Montembeault,False,2.0,False,1.2,3.8902,0.9041584086063217
2022-02-22,CBJ,1,2,3,1,11,21.83333333333333,L,3,4,,regular_season,2021-22,8475234,J. Berube,False,1.0,True,1.0,3.6585,0.9104254746989973
2022-02-24,MIN,2,0,2,1,4,20.1,W,3,1,,regular_season,2021-22,8478039,K. Kahkonen,False,2.0,False,1.4,3.0854,0.9096072139831531
2022-02-26,DET,1,3,4,3,4,14.55,W,10,7,,regular_season,2021-22,8477968,A. Nedeljkovic,False,2.0,False,1.4,3.8049,0.9145342827065356
2022-02-28,WSH,0,0,0,2,0,19.48333333333333,W,5,3,,regular_season,2021-22,8478492,I. Samsonov,False,2.0,False,1.8,2.9878,0.906562821784914
2022-03-02,BUF,0,0,0,-2,3,17.566666666666666,L,1,5,,regular_season,2021-22,8467950,C. Anderson,False,2.0,False,1.8,3.5366,0.9108439674731954
2022-03-05,VAN,2,0,2,-1,8,22.28333333333333,L,4,6,,regular_season,2021-22,8477967,T. Demko,False,3.0,False,1.8,2.878,0.9152904896816649
