date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2022-10-18,CGY,0,0,0,-1,0,17.466666666666665,L,2,3,,regular_season,2022-23,8474593,J. Markstrom,False,3.0,False,1.0,3.0732,0.9150454794676784
2022-10-20,WPG,2,0,2,3,3,17.55,W,5,2,,regular_season,2022-23,8479496,D. Rittich,False,2.0,False,0.75,2.7439,0.8985035663514197
2022-10-22,COL,0,2,2,0,3,17.166666666666668,L,2,3,,regular_season,2022-23,8480382,A. Georgiev,False,2.0,False,1.0,2.7531,0.9042955213842787
2022-10-24,TOR,0,0,0,1,6,19.58333333333333,W,3,1,,regular_season,2022-23,8478492,I. Samsonov,False,2.0,False,1.2,2.7073,0.903733248670069
2022-10-25,SJS,0,0,0,1,3,17.483333333333334,W,4,2,,regular_season,2022-23,8473503,J. Reimer,False,1.0,True,1.2,3.9146,0.9096068900147593
2022-10-28,ANA,0,1,1,0,4,17.916666666666668,W,4,0,,regular_season,2022-23,8476434,J. Gibson,False,3.0,False,0.8,4.122,0.9039787474207163
2022-10-30,WPG,1,1,2,2,5,21.166666666666668,W,2,1,,regular_season,2022-23,8476945,C. Hellebuyck,False,2.0,False,1.0,2.7439,0.9115632574277517
2022-11-01,WSH,1,1,2,1,2,21.25,W,3,2,,regular_season,2022-23,8479292,C. Lindgren,False,2.0,False,1.0,3.2317,0.913103868661092
2022-11-03,OTT,0,1,1,2,5,19.1,W,5,4,,regular_season,2022-23,8476341,A. Forsberg,False,2.0,False,1.0,3.3049,0.913447073655525
2022-11-05,MTL,0,1,1,-1,5,20.03333333333333,W,6,4,,regular_season,2022-23,8474596,J. Allen,False,2.0,False,1.2,3.7439,0.9060815054142279
2022-11-08,TOR,1,0,1,0,2,18.28333333333333,W,4,3,,regular_season,2022-23,8478902,E. Kallgren,False,3.0,False,1.4,2.7073,0.9024675413351525
2022-11-10,BUF,3,1,4,3,7,16.883333333333333,W,7,4,,regular_season,2022-23,8477480,E. Comrie,False,2.0,False,1.4,3.679,0.9073694843032345
2022-11-12,STL,0,0,0,-1,4,18.65,L,2,3,,regular_season,2022-23,8476412,J. Binnington,False,2.0,False,1.8,3.6707,0.9028873376313988
2022-11-15,SJS,1,0,1,-1,2,21.616666666666667,L,2,5,,regular_season,2022-23,8473503,J. Reimer,False,3.0,False,1.4,3.9146,0.9067817298341947
2022-11-17,ARI,0,1,1,1,2,18.366666666666667,W,4,1,,regular_season,2022-23,8478872,K. Vejmelka,False,2.0,False,1.4,3.6463,0.9029722859326543
2022-11-19,EDM,0,1,1,0,5,16.7,L,3,4,,regular_season,2022-23,8479973,S. Skinner,False,2.0,False,1.4,3.1707,0.9100804609868963
2022-11-21,VAN,0,2,2,3,4,21.016666666666666,W,5,4,,regular_season,2022-23,8477967,T. Demko,False,2.0,False,1.4,3.6341,0.9095477465456914
2022-11-23,OTT,1,1,2,1,7,20.2,W,4,1,,regular_season,2022-23,8475660,C. Talbot,False,2.0,False,1.0,3.3049,0.9092800679930217
2022-11-25,SEA,0,0,0,0,2,21.383333333333333,L,2,4,,regular_season,2022-23,8475831,P. Grubauer,False,2.0,False,1.4,3.122,0.8956624304256787
2022-11-26,VAN,0,0,0,0,1,19.9,L,1,5,,regular_season,2022-23,8477484,S. Martin,False,1.0,True,1.2,3.6341,0.9117633404313538
2022-11-28,CBJ,0,0,0,-1,6,19.416666666666668,W,3,2,,regular_season,2022-23,8480193,D. Tarasov,False,2.0,False,1.0,4.0123,0.9086534796268917
2022-12-01,PIT,1,1,2,1,7,24.33333333333333,L,3,4,,regular_season,2022-23,8477465,T. Jarry,False,3.0,False,0.8,3.2195,0.9089352188222686
2022-12-03,DET,1,0,1,1,3,13.6,W,4,1,,regular_season,2022-23,8478024,V. Husso,False,2.0,False,0.8,3.4024,0.910488076526414
2022-12-09,PHI,0,0,0,0,1,20.25,W,2,1,,regular_season,2022-23,8479394,C. Hart,False,6.0,False,0.6,3.378,0.9054854670276745
2023-01-05,PIT,1,2,3,2,4,18.266666666666666,W,5,2,,regular_season,2022-23,8479193,C. DeSmith,False,27.0,False,0.6,3.2195,0.9123247414100095
2023-01-07,LAK,0,0,0,-4,2,18.566666666666663,L,1,5,,regular_season,2022-23,8477831,P. Copley,False,2.0,False,1.2,3.1341,0.9039696970086629
2023-01-12,FLA,1,0,1,0,10,20.766666666666666,W,4,2,,regular_season,2022-23,8475683,S. Bobrovsky,False,5.0,False,1.2,3.3293,0.9035625057759167
2023-01-14,EDM,0,0,0,-3,0,19.0,L,3,4,,regular_season,2022-23,8475789,J. Campbell,False,2.0,False,1.0,3.1707,0.8942422956839772
2023-01-16,DAL,0,0,0,-2,2,22.166666666666668,L,0,4,,regular_season,2022-23,8479979,J. Oettinger,False,2.0,False,0.8,2.6585,0.9177705533107776
2023-01-19,DET,0,1,1,1,2,18.716666666666665,L,2,3,,regular_season,2022-23,8478024,V. Husso,False,3.0,False,0.8,3.4024,0.9050133864617814
2023-01-21,WSH,0,0,0,2,0,17.016666666666666,W,6,2,,regular_season,2022-23,8475311,D. Kuemper,False,2.0,False,0.4,3.2317,0.9158268693730086
2023-01-22,ARI,0,0,0,-2,5,20.0,L,1,4,,regular_season,2022-23,8478872,K. Vejmelka,False,1.0,True,0.4,3.6463,0.8990318679437179
2023-01-24,NJD,0,0,0,-1,2,19.58333333333333,L,2,3,,regular_season,2022-23,8477970,V. Vanecek,False,2.0,False,0.2,2.7561,0.9080076465770228
2023-01-27,NYR,0,0,0,-3,2,15.666666666666666,L,1,4,,regular_season,2022-23,8470860,J. Halak,False,3.0,False,0.2,2.6707,0.9024314523536976
2023-01-28,NYI,0,0,0,0,7,19.633333333333333,L,1,2,,regular_season,2022-23,8473575,S. Varlamov,False,1.0,True,0.2,2.7073,0.907795587460237
2023-02-07,NSH,0,0,0,0,5,15.916666666666666,W,5,1,,regular_season,2022-23,8477424,J. Saros,False,10.0,False,0.0,2.8889,0.9109918566185389
2023-02-09,MIN,1,1,2,3,3,16.033333333333335,W,5,1,,regular_season,2022-23,8470594,M. Fleury,False,2.0,False,0.0,2.7439,0.9062772303259036
2023-02-12,ANA,1,1,2,0,3,16.466666666666665,W,7,2,,regular_season,2022-23,8476434,J. Gibson,False,3.0,False,0.4,4.122,0.8965133150911092
2023-02-16,SJS,0,1,1,1,4,17.133333333333333,W,2,1,,regular_season,2022-23,8478039,K. Kahkonen,False,4.0,False,0.8,3.9146,0.8967090093492953
2023-02-18,TBL,0,0,0,1,3,17.766666666666666,W,5,4,,regular_season,2022-23,8476883,A. Vasilevskiy,False,2.0,False,1.0,3.0976,0.9141887569684017
2023-02-21,CHI,1,0,1,1,4,18.366666666666667,L,2,3,,regular_season,2022-23,8475852,P. Mrazek,False,3.0,False,1.0,3.6707,0.8941004330588732
2023-02-23,CGY,1,1,2,0,3,21.016666666666666,W,4,3,,regular_season,2022-23,8478435,D. Vladar,False,2.0,False,1.2,3.0732,0.9023561143000871
2023-02-25,DAL,1,0,1,-1,7,23.3,L,2,3,,regular_season,2022-23,8479979,J. Oettinger,False,2.0,False,1.2,2.6585,0.9176547976748488
2023-02-27,COL,0,0,0,-2,5,18.883333333333333,L,0,3,,regular_season,2022-23,8480382,A. Georgiev,False,2.0,False,1.0,2.7531,0.9115338526828541
2023-03-01,CAR,2,0,2,3,3,17.416666666666668,W,3,2,,regular_season,2022-23,8475883,F. Andersen,False,2.0,False,0.8,2.5976,0.9042550241482459
2023-03-03,NJD,1,1,2,2,4,23.05,W,4,3,,regular_season,2022-23,8481033,A. Schmid,False,2.0,False,1.2,2.7561,0.9102362644006505
2023-03-05,MTL,0,1,1,2,0,15.6,W,4,3,,regular_season,2022-23,8474596,J. Allen,False,2.0,False,1.4,3.7439,0.9028469581575105
2023-03-07,FLA,0,1,1,-1,1,21.416666666666668,L,1,2,,regular_season,2022-23,8475683,S. Bobrovsky,False,2.0,False,1.2,3.3293,0.9055629625515529
2023-03-09,TBL,0,1,1,0,2,21.216666666666665,W,4,3,,regular_season,2022-23,8476883,A. Vasilevskiy,False,2.0,False,1.2,3.0976,0.9139077472720927
