date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2022-01-25,VAN,1,1,2,1,6.0,27.466666666666665,W,3,2,,regular_season,2021-22,8477484,S. Martin,False,3.0,False,0.6,2.878,0.9123143702776121
2022-01-27,NSH,1,0,1,1,4.0,26.15,W,3,2,,regular_season,2021-22,8477424,J. Saros,False,2.0,False,0.8,3.0732,0.9219787803988917
2022-01-29,MTL,0,0,0,1,2.0,17.45,W,7,2,,regular_season,2021-22,8478470,S. Montembeault,False,2.0,False,1.0,3.8902,0.907842439496957
2022-01-31,OTT,1,0,1,0,5.0,25.216666666666665,L,2,3,,regular_season,2021-22,8476899,M. Murray,False,2.0,False,1.0,3.2439,0.9076169520880397
2022-02-02,WSH,1,0,1,1,3.0,21.53333333333333,W,5,3,,regular_season,2021-22,8478492,I. Samsonov,False,2.0,False,1.2,2.9878,0.9077576189517067
2022-02-08,VGK,0,0,0,-2,2.0,20.816666666666663,L,0,4,,regular_season,2021-22,8476316,L. Brossoit,False,6.0,False,1.0,3.0244,0.9089775131353758
2022-02-09,CHI,0,1,1,0,3.0,19.53333333333333,L,1,4,,regular_season,2021-22,8470594,M. Fleury,False,1.0,True,0.6,3.5488,0.9150269138625392
2022-02-11,NYI,0,2,2,2,3.0,20.58333333333333,W,3,1,,regular_season,2021-22,8478009,I. Sorokin,False,2.0,False,0.6,2.8902,0.9189622074217867
2022-02-14,SJS,1,0,1,1,7.0,18.85,W,3,0,,regular_season,2021-22,8473503,J. Reimer,False,3.0,False,1.0,3.2195,0.9128840113378734
2022-02-15,LAK,1,1,2,1,2.0,21.183333333333334,W,5,2,,regular_season,2021-22,8477361,C. Petersen,False,1.0,True,1.0,2.878,0.9070233234421725
2022-02-17,ANA,0,2,2,1,7.0,22.08333333333333,W,7,3,,regular_season,2021-22,8476434,J. Gibson,False,2.0,False,1.2,3.3049,0.9095537480460797
2022-02-19,WPG,1,2,3,2,6.0,21.75,W,4,2,,regular_season,2021-22,8476945,C. Hellebuyck,False,2.0,False,1.6,3.1358,0.9144994647341571
2022-02-20,MIN,0,0,0,-1,3.0,20.03333333333333,L,3,7,,regular_season,2021-22,8478039,K. Kahkonen,False,1.0,True,2.0,3.0854,0.9108290431803604
2022-02-23,TBL,2,0,2,-1,5.0,24.03333333333333,L,3,5,,regular_season,2021-22,8476883,A. Vasilevskiy,False,3.0,False,1.6,2.8415,0.9214319639005412
2022-02-26,FLA,0,2,2,1,4.0,20.416666666666668,W,4,3,,regular_season,2021-22,8475683,S. Bobrovsky,False,3.0,False,1.8,3.0,0.9110212770532518
2022-02-27,CAR,0,0,0,0,5.0,21.933333333333334,L,1,2,,regular_season,2021-22,8475883,F. Andersen,False,1.0,True,1.8,2.4634,0.9151053827622059
2022-03-01,PHI,1,1,2,1,7.0,23.883333333333333,W,3,0,,regular_season,2021-22,8479394,C. Hart,False,2.0,False,1.4,3.6341,0.9020443623687575
2022-03-03,CHI,0,2,2,1,2.0,26.73333333333333,L,3,4,,regular_season,2021-22,8470594,M. Fleury,False,2.0,False,1.2,3.5488,0.9140597618144917
2022-03-05,MTL,0,0,0,0,2.0,22.633333333333333,L,2,5,,regular_season,2021-22,8478470,S. Montembeault,False,2.0,False,1.6,3.8902,0.903865496396873
2022-03-07,CGY,0,0,0,-1,3.0,22.4,L,1,3,,regular_season,2021-22,8474593,J. Markstrom,False,2.0,False,1.2,2.5366,0.9139936418619312
2022-03-09,WSH,1,1,2,-1,3.0,25.15,W,4,3,,regular_season,2021-22,8478492,I. Samsonov,False,2.0,False,0.8,2.9878,0.9045874890887866
2022-03-12,TBL,2,0,2,2,7.0,21.816666666666663,W,4,1,,regular_season,2021-22,8470880,B. Elliott,False,3.0,False,1.2,2.8415,0.9001795793848286
2022-03-15,DET,1,1,2,1,4.0,22.6,W,7,5,,regular_season,2021-22,8471306,T. Greiss,False,3.0,False,1.2,3.8049,0.9100603885471198
2022-03-17,BUF,1,1,2,2,4.0,16.2,W,6,1,,regular_season,2021-22,8467950,C. Anderson,False,2.0,False,1.2,3.5366,0.9108582752259166
2022-03-19,NJD,1,2,3,1,4.0,21.133333333333333,W,6,3,,regular_season,2021-22,8476903,J. Gillies,False,2.0,False,1.6,3.7439,0.9029639021182473
2022-03-21,COL,0,1,1,1,2.0,21.766666666666666,L,2,3,,regular_season,2021-22,8475311,D. Kuemper,False,2.0,False,2.2,2.8537,0.9149260378656282
2022-03-22,DAL,0,2,2,-1,2.0,24.03333333333333,L,3,5,,regular_season,2021-22,8479979,J. Oettinger,False,1.0,True,2.0,3.0,0.9128034410302202
2022-03-24,SJS,0,2,2,1,1.0,18.633333333333333,W,5,2,,regular_season,2021-22,8478039,K. Kahkonen,False,2.0,False,2.0,3.2195,0.9040747580422607
2022-03-26,CGY,0,2,2,-4,4.0,23.03333333333333,L,5,9,,regular_season,2021-22,8474593,J. Markstrom,False,2.0,False,2.0,2.5366,0.9171786503760381
2022-03-28,ARI,1,0,1,2,5.0,19.183333333333334,W,6,1,,regular_season,2021-22,8478872,K. Vejmelka,False,2.0,False,2.0,3.8171,0.907120625724406
2022-03-30,LAK,1,1,2,2,8.0,24.53333333333333,W,4,3,,regular_season,2021-22,8471734,J. Quick,False,2.0,False,1.6,2.878,0.9086712798802331
2022-04-01,STL,2,0,2,1,11.0,20.0,W,6,5,,regular_season,2021-22,8476412,J. Binnington,False,2.0,False,1.8,2.9512,0.907955721149121
2022-04-03,ANA,1,2,3,2,5.0,15.416666666666666,W,6,1,,regular_season,2021-22,8476434,J. Gibson,False,2.0,False,1.8,3.3049,0.9071058555312893
2022-04-05,SJS,1,0,1,1,4.0,23.016666666666666,W,2,1,,regular_season,2021-22,8473503,J. Reimer,False,2.0,False,2.0,3.2195,0.9121227737362307
2022-04-07,LAK,1,1,2,0,4.0,21.216666666666665,W,3,2,,regular_season,2021-22,8471734,J. Quick,False,2.0,False,1.8,2.878,0.9088929887486277
2022-04-09,COL,0,0,0,0,5.0,24.216666666666665,L,1,2,,regular_season,2021-22,8475311,D. Kuemper,False,2.0,False,2.0,2.8537,0.9160214013029943
2022-04-12,MIN,0,0,0,0,5.0,22.33333333333333,L,1,5,,regular_season,2021-22,8475660,C. Talbot,False,3.0,False,1.6,3.0854,0.909786654368367
2022-04-14,NSH,0,2,2,0,3.0,20.866666666666667,W,4,0,,regular_season,2021-22,8477424,J. Saros,False,2.0,False,1.2,3.0732,0.9185190668397722
2022-04-16,VGK,0,0,0,1,3.0,22.48333333333333,W,4,0,,regular_season,2021-22,8480313,L. Thompson,False,2.0,False,1.0,3.0244,0.9133906042320408
2022-04-20,DAL,1,2,3,2,4.0,19.95,W,5,2,,regular_season,2021-22,8475809,S. Wedgewood,False,4.0,False,0.8,3.0,0.9075812288415419
2022-04-22,COL,0,3,3,2,0.0,21.266666666666666,W,6,3,,regular_season,2021-22,8475311,D. Kuemper,False,2.0,False,1.0,2.8537,0.917453255573823
2022-04-24,CBJ,0,2,2,-2,2.0,21.25,L,2,5,,regular_season,2021-22,8478007,E. Merzlikins,False,2.0,False,1.6,3.6585,0.9084248712296551
2022-04-26,PIT,1,3,4,2,4.0,19.08333333333333,W,5,1,,regular_season,2021-22,8479193,C. DeSmith,False,2.0,False,2.0,2.7927,0.9104051760618995
2022-04-28,SJS,0,1,1,1,2.0,19.766666666666666,W,5,4,,regular_season,2021-22,8473503,J. Reimer,False,2.0,False,2.4,3.2195,0.9109254090468862
2022-05-02,LAK,1,1,2,0,3.0,25.55,L,3,4,1.0,first_round,2021-22,8471734,J. Quick,False,4.0,False,2.6,2.878,0.9086962091556833
2022-05-04,LAK,0,2,2,3,2.0,16.866666666666667,W,6,0,2.0,first_round,2021-22,8471734,J. Quick,False,2.0,False,2.4,2.878,0.9091611391665165
