date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2022-10-18,CGY,0,0,0,-1,0,17.466666666666665,L,2,3,,regular_season,2022-23,8474593,J. Markstrom
2022-10-20,WPG,2,0,2,3,3,17.55,W,5,2,,regular_season,2022-23,8479496,D. Rittich
2022-10-22,COL,0,2,2,0,3,17.166666666666668,L,2,3,,regular_season,2022-23,8480382,A. Georgiev
2022-10-24,TOR,0,0,0,1,6,19.583333333333332,W,3,1,,regular_season,2022-23,8478492,I. Samsonov
2022-10-25,SJS,0,0,0,1,3,17.483333333333334,W,4,2,,regular_season,2022-23,8473503,J. Reimer
2022-10-28,ANA,0,1,1,0,4,17.916666666666668,W,4,0,,regular_season,2022-23,8476434,J. Gibson
2022-10-30,WPG,1,1,2,2,5,21.166666666666668,W,2,1,,regular_season,2022-23,8476945,C. Hellebuyck
2022-11-01,WSH,1,1,2,1,2,21.25,W,3,2,,regular_season,2022-23,8479292,C. Lindgren
2022-11-03,OTT,0,1,1,2,5,19.1,W,5,4,,regular_season,2022-23,8476341,A. Forsberg
2022-11-05,MTL,0,1,1,-1,5,20.033333333333335,W,6,4,,regular_season,2022-23,8474596,J. Allen
2022-11-08,TOR,1,0,1,0,2,18.283333333333335,W,4,3,,regular_season,2022-23,8478902,E. Kallgren
2022-11-10,BUF,3,1,4,3,7,16.883333333333333,W,7,4,,regular_season,2022-23,8477480,E. Comrie
2022-11-12,STL,0,0,0,-1,4,18.65,L,2,3,,regular_season,2022-23,8476412,J. Binnington
2022-11-15,SJS,1,0,1,-1,2,21.616666666666667,L,2,5,,regular_season,2022-23,8473503,J. Reimer
2022-11-17,ARI,0,1,1,1,2,18.366666666666667,W,4,1,,regular_season,2022-23,8478872,K. Vejmelka
2022-11-19,EDM,0,1,1,0,5,16.7,L,3,4,,regular_season,2022-23,8479973,S. Skinner
2022-11-21,VAN,0,2,2,3,4,21.016666666666666,W,5,4,,regular_season,2022-23,8477967,T. Demko
2022-11-23,OTT,1,1,2,1,7,20.2,W,4,1,,regular_season,2022-23,8475660,C. Talbot
2022-11-25,SEA,0,0,0,0,2,21.383333333333333,L,2,4,,regular_season,2022-23,8475831,P. Grubauer
2022-11-26,VAN,0,0,0,0,1,19.9,L,1,5,,regular_season,2022-23,8477484,S. Martin
2022-11-28,CBJ,0,0,0,-1,6,19.416666666666668,W,3,2,,regular_season,2022-23,8480193,D. Tarasov
2022-12-01,PIT,1,1,2,1,7,24.333333333333332,L,3,4,,regular_season,2022-23,8477465,T. Jarry
2022-12-03,DET,1,0,1,1,3,13.6,W,4,1,,regular_season,2022-23,8478024,V. Husso
2022-12-09,PHI,0,0,0,0,1,20.25,W,2,1,,regular_season,2022-23,8479394,C. Hart
2023-01-05,PIT,1,2,3,2,4,18.266666666666666,W,5,2,,regular_season,2022-23,8479193,C. DeSmith
2023-01-07,LAK,0,0,0,-4,2,18.566666666666666,L,1,5,,regular_season,2022-23,8477831,P. Copley
2023-01-12,FLA,1,0,1,0,10,20.766666666666666,W,4,2,,regular_season,2022-23,8475683,S. Bobrovsky
2023-01-14,EDM,0,0,0,-3,0,19.0,L,3,4,,regular_season,2022-23,8475789,J. Campbell
2023-01-16,DAL,0,0,0,-2,2,22.166666666666668,L,0,4,,regular_season,2022-23,8479979,J. Oettinger
2023-01-19,DET,0,1,1,1,2,18.716666666666665,L,2,3,,regular_season,2022-23,8478024,V. Husso
2023-01-21,WSH,0,0,0,2,0,17.016666666666666,W,6,2,,regular_season,2022-23,8475311,D. Kuemper
2023-01-22,ARI,0,0,0,-2,5,20.0,L,1,4,,regular_season,2022-23,8478872,K. Vejmelka
2023-01-24,NJD,0,0,0,-1,2,19.583333333333332,L,2,3,,regular_season,2022-23,8477970,V. Vanecek
2023-01-27,NYR,0,0,0,-3,2,15.666666666666666,L,1,4,,regular_season,2022-23,8470860,J. Halak
2023-01-28,NYI,0,0,0,0,7,19.633333333333333,L,1,2,,regular_season,2022-23,8473575,S. Varlamov
2023-02-07,NSH,0,0,0,0,5,15.916666666666666,W,5,1,,regular_season,2022-23,8477424,J. Saros
2023-02-09,MIN,1,1,2,3,3,16.033333333333335,W,5,1,,regular_season,2022-23,8470594,M. Fleury
2023-02-12,ANA,1,1,2,0,3,16.466666666666665,W,7,2,,regular_season,2022-23,8476434,J. Gibson
2023-02-16,SJS,0,1,1,1,4,17.133333333333333,W,2,1,,regular_season,2022-23,8478039,K. Kahkonen
2023-02-18,TBL,0,0,0,1,3,17.766666666666666,W,5,4,,regular_season,2022-23,8476883,A. Vasilevskiy
2023-02-21,CHI,1,0,1,1,4,18.366666666666667,L,2,3,,regular_season,2022-23,8475852,P. Mrazek
2023-02-23,CGY,1,1,2,0,3,21.016666666666666,W,4,3,,regular_season,2022-23,8478435,D. Vladar
2023-02-25,DAL,1,0,1,-1,7,23.3,L,2,3,,regular_season,2022-23,8479979,J. Oettinger
2023-02-27,COL,0,0,0,-2,5,18.883333333333333,L,0,3,,regular_season,2022-23,8480382,A. Georgiev
2023-03-01,CAR,2,0,2,3,3,17.416666666666668,W,3,2,,regular_season,2022-23,8475883,F. Andersen
2023-03-03,NJD,1,1,2,2,4,23.05,W,4,3,,regular_season,2022-23,8481033,A. Schmid
2023-03-05,MTL,0,1,1,2,0,15.6,W,4,3,,regular_season,2022-23,8474596,J. Allen
2023-03-07,FLA,0,1,1,-1,1,21.416666666666668,L,1,2,,regular_season,2022-23,8475683,S. Bobrovsky
2023-03-09,TBL,0,1,1,0,2,21.216666666666665,W,4,3,,regular_season,2022-23,8476883,A. Vasilevskiy
2023-03-11,CAR,0,0,0,1,4,15.916666666666666,W,4,0,,regular_season,2022-23,8475883,F. Andersen
2023-03-12,STL,0,0,0,1,2,17.533333333333335,W,5,3,,regular_season,2022-23,8476412,J. Binnington
