date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2022-03-13,BUF,1,0,1,-2,5,20.433333333333334,L,2,5,,regular_season,2021-22,8467950,C. Anderson
2022-03-19,NSH,1,1,2,1,10,23.066666666666666,L,3,6,,regular_season,2021-22,8477424,J. Saros
2022-03-23,NJD,0,1,1,0,2,21.583333333333332,W,3,2,,regular_season,2021-22,8482076,N. Daws
2022-03-26,MTL,1,0,1,-1,6,21.533333333333335,L,2,4,,regular_season,2021-22,8474596,J. Allen
2022-03-27,FLA,1,1,2,2,3,18.35,W,5,2,,regular_season,2021-22,8481519,S. Knight
2022-03-29,BOS,1,1,2,-1,3,18.283333333333335,W,6,4,,regular_season,2021-22,8480280,J. Swayman
2022-03-31,WPG,1,1,2,0,6,19.7,W,7,3,,regular_season,2021-22,8477480,E. Comrie
2022-04-02,PHI,1,0,1,0,4,19.666666666666668,W,6,3,,regular_season,2021-22,8479394,C. Hart
2022-04-04,TBL,3,1,4,3,7,17.766666666666666,W,6,2,,regular_season,2021-22,8476883,A. Vasilevskiy
2022-04-05,FLA,0,3,3,-2,8,24.683333333333334,L,6,7,,regular_season,2021-22,8475683,S. Bobrovsky
2022-04-07,DAL,2,0,2,2,12,23.1,W,4,3,,regular_season,2021-22,8475809,S. Wedgewood
2022-04-09,MTL,2,0,2,2,6,21.033333333333335,W,3,2,,regular_season,2021-22,8474596,J. Allen
2022-04-12,BUF,0,0,0,-2,4,21.633333333333333,L,2,5,,regular_season,2021-22,8467950,C. Anderson
2022-04-14,WSH,0,2,2,0,3,18.5,W,7,3,,regular_season,2021-22,8478492,I. Samsonov
2022-04-16,OTT,0,1,1,3,3,23.816666666666666,W,5,4,,regular_season,2021-22,8476341,A. Forsberg
2022-04-23,FLA,0,0,0,1,7,21.666666666666668,L,2,3,,regular_season,2021-22,8475683,S. Bobrovsky
2022-04-24,WSH,0,2,2,1,4,25.316666666666666,W,4,3,,regular_season,2021-22,8477970,V. Vanecek
2022-04-26,DET,2,0,2,1,7,19.35,W,3,0,,regular_season,2021-22,8477968,A. Nedeljkovic
2022-05-02,TBL,2,1,3,2,6,16.783333333333335,W,5,0,1.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-04,TBL,0,2,2,2,3,20.75,L,3,5,2.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-06,TBL,0,0,0,0,5,22.333333333333332,W,5,2,3.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-08,TBL,0,1,1,-3,1,19.05,L,3,7,4.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-10,TBL,1,0,1,0,4,23.683333333333334,W,4,3,5.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-12,TBL,1,0,1,0,6,28.316666666666666,L,3,4,6.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-05-14,TBL,0,1,1,0,4,25.066666666666666,L,1,2,7.0,first_round,2021-22,8476883,A. Vasilevskiy
2022-10-12,MTL,0,0,0,0,5,19.9,L,3,4,,regular_season,2022-23,8474596,J. Allen
2022-10-13,WSH,1,0,1,0,5,18.633333333333333,W,3,2,,regular_season,2022-23,8479292,C. Lindgren
2022-10-15,OTT,0,1,1,1,7,20.8,W,3,2,,regular_season,2022-23,8476341,A. Forsberg
2022-10-17,ARI,0,0,0,0,4,24.716666666666665,L,2,4,,regular_season,2022-23,8478872,K. Vejmelka
2022-10-20,DAL,0,1,1,1,3,26.766666666666666,W,3,2,,regular_season,2022-23,8475809,S. Wedgewood
2022-10-22,WPG,0,3,3,1,4,19.45,W,4,1,,regular_season,2022-23,8476945,C. Hellebuyck
2022-10-24,VGK,0,0,0,0,5,22.533333333333335,L,1,3,,regular_season,2022-23,8480313,L. Thompson
2022-10-27,SJS,1,0,1,0,7,20.366666666666667,L,3,4,,regular_season,2022-23,8478039,K. Kahkonen
2022-10-29,LAK,0,0,0,-1,4,21.466666666666665,L,2,4,,regular_season,2022-23,8477361,C. Petersen
2022-10-30,ANA,1,0,1,-2,4,21.516666666666666,L,3,4,,regular_season,2022-23,8476434,J. Gibson
2022-11-02,PHI,1,1,2,-1,8,19.016666666666666,W,5,2,,regular_season,2022-23,8478433,F. Sandstrom
2022-11-05,BOS,2,0,2,1,5,19.7,W,2,1,,regular_season,2022-23,8476999,L. Ullmark
2022-11-06,CAR,0,1,1,0,0,18.483333333333334,W,3,1,,regular_season,2022-23,8475883,F. Andersen
2022-11-08,VGK,0,1,1,-1,5,23.216666666666665,L,3,4,,regular_season,2022-23,8480313,L. Thompson
2022-11-11,PIT,0,0,0,-2,3,23.75,L,2,4,,regular_season,2022-23,8479193,C. DeSmith
2022-11-12,VAN,1,0,1,1,4,16.883333333333333,W,3,2,,regular_season,2022-23,8477484,S. Martin
2022-11-15,PIT,0,2,2,3,4,15.883333333333333,W,5,2,,regular_season,2022-23,8479193,C. DeSmith
2022-11-17,NJD,1,1,2,1,3,22.716666666666665,L,2,3,,regular_season,2022-23,8477970,V. Vanecek
2022-11-19,BUF,0,1,1,0,2,14.1,W,5,2,,regular_season,2022-23,8480045,U. Luukkonen
2022-11-21,NYI,1,0,1,0,3,22.766666666666666,L,2,3,,regular_season,2022-23,8478009,I. Sorokin
2022-11-23,NJD,0,0,0,-1,4,19.183333333333334,W,2,1,,regular_season,2022-23,8477970,V. Vanecek
2022-11-25,MIN,0,0,0,1,3,19.483333333333334,W,4,3,,regular_season,2022-23,8470594,M. Fleury
2022-11-26,PIT,1,2,3,3,6,17.116666666666667,W,4,1,,regular_season,2022-23,8479193,C. DeSmith
2022-11-28,DET,1,1,2,2,5,18.083333333333332,W,4,2,,regular_season,2022-23,8478024,V. Husso
2022-11-30,SJS,1,0,1,2,1,23.533333333333335,W,3,1,,regular_season,2022-23,8477180,A. Dell
2022-12-03,TBL,0,1,1,-1,8,20.15,L,3,4,,regular_season,2022-23,8476883,A. Vasilevskiy
2022-12-06,DAL,1,1,2,2,3,15.6,W,4,0,,regular_season,2022-23,8479979,J. Oettinger
2022-12-08,LAK,1,0,1,3,6,19.3,W,5,0,,regular_season,2022-23,8471734,J. Quick
2022-12-10,CGY,1,2,3,1,8,23.65,W,5,4,,regular_season,2022-23,8478435,D. Vladar
2022-12-13,ANA,0,1,1,1,5,17.466666666666665,W,7,0,,regular_season,2022-23,8476434,J. Gibson
2022-12-15,NYR,0,0,0,-2,5,22.333333333333332,L,1,3,,regular_season,2022-23,8478048,I. Shesterkin
2022-12-17,WSH,1,1,2,1,4,19.383333333333333,L,2,5,,regular_season,2022-23,8479292,C. Lindgren
2022-12-20,TBL,1,0,1,0,6,21.4,W,4,1,,regular_season,2022-23,8476883,A. Vasilevskiy
2022-12-22,PHI,0,1,1,3,2,21.366666666666667,W,4,3,,regular_season,2022-23,8479394,C. Hart
2022-12-27,STL,0,1,1,2,5,22.366666666666667,W,5,4,,regular_season,2022-23,8476412,J. Binnington
2022-12-29,ARI,0,0,0,-4,4,20.466666666666665,L,3,6,,regular_season,2022-23,8478872,K. Vejmelka
2022-12-31,COL,1,1,2,2,1,17.7,W,6,2,,regular_season,2022-23,8480382,A. Georgiev
2023-01-03,STL,1,1,2,2,3,21.766666666666666,L,5,6,,regular_season,2022-23,8476412,J. Binnington
