goalie_id,season,date,game_type,games_started,shots_against,goals_against
8469608,2021-22,2022-03-21,2,1,31,3
8469608,2021-22,2022-03-24,2,1,30,2
8469608,2021-22,2022-03-26,2,0,26,4
8469608,2021-22,2022-04-01,2,1,36,5
8469608,2021-22,2022-04-03,2,1,32,1
8469608,2021-22,2022-04-05,2,1,32,1
8469608,2021-22,2022-04-07,2,1,33,2
8469608,2021-22,2022-04-14,2,1,30,0
8469608,2021-22,2022-04-16,2,1,39,0
8469608,2021-22,2022-04-20,2,1,36,2
8469608,2021-22,2022-04-22,2,1,37,3
8469608,2021-22,2022-04-26,2,1,34,1
8469608,2021-22,2022-05-02,3,1,35,4
8469608,2021-22,2022-05-04,3,1,30,0
8469608,2021-22,2022-05-06,3,1,46,2
8469608,2021-22,2022-05-08,3,1,45,3
8469608,2021-22,2022-05-10,3,1,43,5
8469608,2021-22,2022-05-12,3,1,32,2
8469608,2021-22,2022-05-14,3,1,29,0
8469608,2021-22,2022-05-18,3,1,10,3
8469608,2021-22,2022-05-20,3,1,40,3
8469608,2021-22,2022-05-22,3,1,33,1
8469608,2021-22,2022-05-24,3,1,32,3
8469608,2021-22,2022-05-26,3,1,36,4
8469608,2021-22,2022-05-31,3,1,25,6
8469608,2021-22,2022-06-02,3,1,40,4
8469608,2021-22,2022-06-04,3,1,42,3
8469608,2021-22,2022-06-06,3,1,42,6
8470594,2020-21,2021-01-16,2,1,22,1
8470594,2020-21,2021-01-20,2,1,23,2
8470594,2020-21,2021-01-24,2,1,16,0
8470594,2020-21,2021-02-05,2,1,29,2
8470594,2020-21,2021-02-09,2,1,23,4
8470594,2020-21,2021-02-11,2,1,28,1
8470594,2020-21,2021-02-13,2,1,25,1
8470594,2020-21,2021-02-14,2,1,30,0
8470594,2020-21,2021-02-16,2,1,25,3
8470594,2020-21,2021-02-20,2,1,39,3
8470594,2020-21,2021-02-22,2,1,34,0
8470594,2020-21,2021-02-27,2,1,30,2
8470594,2020-21,2021-03-01,2,1,30,4
8470594,2020-21,2021-03-03,2,1,37,1
8470594,2020-21,2021-03-06,2,1,24,0
8470594,2020-21,2021-03-08,2,1,21,1
8470594,2020-21,2021-03-10,2,1,29,4
8470594,2020-21,2021-03-12,2,1,23,4
8470594,2020-21,2021-03-13,2,1,35,1
8470594,2020-21,2021-03-15,2,1,24,1
8470594,2020-21,2021-03-17,2,1,33,4
8470594,2020-21,2021-03-21,2,1,31,3
8470594,2020-21,2021-03-25,2,1,32,5
8470594,2020-21,2021-03-27,2,1,24,2
8470594,2020-21,2021-03-31,2,1,30,4
8470594,2020-21,2021-04-03,2,1,27,2
8470594,2020-21,2021-04-07,2,1,35,3
8470594,2020-21,2021-04-11,2,1,14,0
8470594,2020-21,2021-04-14,2,1,22,2
8470594,2020-21,2021-04-18,2,1,35,2
8470594,2020-21,2021-04-21,2,1,33,2
8470594,2020-21,2021-04-28,2,1,37,2
8470594,2020-21,2021-05-01,2,1,21,2
8470594,2020-21,2021-05-05,2,1,28,2
8470594,2020-21,2021-05-08,2,1,21,1
8470594,2020-21,2021-05-12,2,1,19,0
8470594,2020-21,2021-05-16,3,1,30,1
8470594,2020-21,2021-05-18,3,1,35,1
8470594,2020-21,2021-05-20,3,1,16,2
8470594,2020-21,2021-05-22,3,1,35,0
8470594,2020-21,2021-05-24,3,1,13,3
8470594,2020-21,2021-05-26,3,1,24,3
8470594,2020-21,2021-05-28,3,1,20,2
8470594,2020-21,2021-06-02,3,1,25,3
8470594,2020-21,2021-06-04,3,1,20,2
8470594,2020-21,2021-06-06,3,1,18,1
8470594,2020-21,2021-06-08,3,1,30,2
8470594,2020-21,2021-06-10,3,1,33,3
8470594,2020-21,2021-06-14,3,1,29,1
8470594,2020-21,2021-06-16,3,1,23,3
8470594,2020-21,2021-06-18,3,1,27,3
8470594,2020-21,2021-06-22,3,1,25,3
8470594,2021-22,2021-10-13,2,1,36,4
8470594,2021-22,2021-10-16,2,1,10,4
8470594,2021-22,2021-10-19,2,1,29,4
8470594,2021-22,2021-10-24,2,1,37,6
8470594,2021-22,2021-10-30,2,1,37,1
8470594,2021-22,2021-11-01,2,1,30,1
