date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game
2022-02-09,CHI,1,0,1,-1,3,23.83333333333333,L,1,4,,regular_season,2021-22,False,1.0,True,0.8,3.5488
2022-02-11,NYI,0,1,1,1,5,20.416666666666668,W,3,1,,regular_season,2021-22,False,2.0,False,1.0,2.8902
2022-02-14,SJS,0,0,0,0,2,21.966666666666665,W,3,0,,regular_season,2021-22,False,3.0,False,0.8,3.2195
2022-02-15,LAK,0,1,1,2,3,23.466666666666665,W,5,2,,regular_season,2021-22,False,1.0,True,0.8,2.878
2022-02-17,ANA,2,0,2,2,5,23.166666666666668,W,7,3,,regular_season,2021-22,False,2.0,False,0.6,3.3049
2022-02-19,WPG,0,1,1,1,1,24.816666666666663,W,4,2,,regular_season,2021-22,False,2.0,False,1.0,3.1358
2022-02-20,MIN,0,1,1,1,4,19.433333333333334,L,3,7,,regular_season,2021-22,False,1.0,True,1.0,3.0854
2022-02-23,TBL,0,3,3,1,1,22.5,L,3,5,,regular_season,2021-22,False,3.0,False,1.0,2.8415
2022-02-26,FLA,1,0,1,1,2,22.15,W,4,3,,regular_season,2021-22,False,3.0,False,1.6,3.0
2022-02-27,CAR,0,0,0,0,0,28.133333333333333,L,1,2,,regular_season,2021-22,False,1.0,True,1.6,2.4634
2022-03-01,PHI,1,1,2,2,5,23.5,W,3,0,,regular_season,2021-22,False,2.0,False,1.2,3.6341
2022-03-03,CHI,1,1,2,1,2,25.0,L,3,4,,regular_season,2021-22,False,2.0,False,1.4,3.5488
2022-03-05,MTL,0,1,1,0,1,24.066666666666663,L,2,5,,regular_season,2021-22,False,2.0,False,1.6,3.8902
2022-03-07,CGY,0,0,0,-1,1,24.0,L,1,3,,regular_season,2021-22,False,2.0,False,1.2,2.5366
2022-03-09,WSH,0,0,0,0,5,28.33333333333333,W,4,3,,regular_season,2021-22,False,2.0,False,1.0,2.9878
2022-03-12,TBL,1,1,2,1,5,24.6,W,4,1,,regular_season,2021-22,False,3.0,False,1.0,2.8415
2022-03-15,DET,0,2,2,1,2,21.683333333333334,W,7,5,,regular_season,2021-22,False,3.0,False,1.0,3.8049
2022-03-17,BUF,1,0,1,2,4,18.683333333333334,W,6,1,,regular_season,2021-22,False,2.0,False,1.0,3.5366
2022-03-19,NJD,1,1,2,2,5,23.4,W,6,3,,regular_season,2021-22,False,2.0,False,1.0,3.7439
2022-03-21,COL,0,1,1,1,2,23.35,L,2,3,,regular_season,2021-22,False,2.0,False,1.4,2.8537
2022-03-22,DAL,1,0,1,0,2,25.066666666666663,L,3,5,,regular_season,2021-22,False,1.0,True,1.6,3.0
2022-03-24,SJS,2,0,2,-1,4,17.883333333333333,W,5,2,,regular_season,2021-22,False,2.0,False,1.4,3.2195
2022-03-26,CGY,3,1,4,-4,5,19.966666666666665,L,5,9,,regular_season,2021-22,False,2.0,False,1.4,2.5366
2022-03-28,ARI,1,1,2,2,6,18.566666666666663,W,6,1,,regular_season,2021-22,False,2.0,False,2.0,3.8171
2022-03-30,LAK,1,0,1,0,6,20.516666666666666,W,4,3,,regular_season,2021-22,False,2.0,False,2.0,2.878
2022-04-01,STL,0,2,2,2,7,20.883333333333333,W,6,5,,regular_season,2021-22,False,2.0,False,2.0,2.9512
2022-04-03,ANA,1,1,2,1,6,17.316666666666666,W,6,1,,regular_season,2021-22,False,2.0,False,2.2,3.3049
2022-04-07,LAK,0,0,0,-1,3,19.78333333333333,W,3,2,,regular_season,2021-22,False,4.0,False,2.2,2.878
2022-04-09,COL,0,0,0,-1,6,20.566666666666663,L,1,2,,regular_season,2021-22,False,2.0,False,1.4,2.8537
2022-04-12,MIN,1,0,1,-2,2,18.25,L,1,5,,regular_season,2021-22,False,3.0,False,1.0,3.0854
2022-04-14,NSH,3,0,3,2,4,18.633333333333333,W,4,0,,regular_season,2021-22,False,2.0,False,1.0,3.0732
2022-04-16,VGK,0,0,0,0,0,19.933333333333334,W,4,0,,regular_season,2021-22,False,2.0,False,1.2,3.0244
2022-04-20,DAL,0,1,1,1,3,22.1,W,5,2,,regular_season,2021-22,False,4.0,False,0.8,3.0
2022-04-22,COL,0,1,1,-1,4,20.416666666666668,W,6,3,,regular_season,2021-22,False,2.0,False,1.0,2.8537
2022-04-24,CBJ,1,0,1,-1,5,20.5,L,2,5,,regular_season,2021-22,False,2.0,False,1.2,3.6585
