date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2022-03-05,MTL,0,1,1,0,1,24.066666666666666,L,2,5,,regular_season,2021-22,8478470,S. Montembeault
2022-03-07,CGY,0,0,0,-1,1,24.0,L,1,3,,regular_season,2021-22,8474593,J. Markstrom
2022-03-09,WSH,0,0,0,0,5,28.333333333333332,W,4,3,,regular_season,2021-22,8478492,I. Samsonov
2022-03-12,TBL,1,1,2,1,5,24.6,W,4,1,,regular_season,2021-22,8470880,B. Elliott
2022-03-15,DET,0,2,2,1,2,21.683333333333334,W,7,5,,regular_season,2021-22,8471306,T. Greiss
2022-03-17,BUF,1,0,1,2,4,18.683333333333334,W,6,1,,regular_season,2021-22,8467950,C. Anderson
2022-03-19,NJD,1,1,2,2,5,23.4,W,6,3,,regular_season,2021-22,8476903,J. Gillies
2022-03-21,COL,0,1,1,1,2,23.35,L,2,3,,regular_season,2021-22,8475311,D. Kuemper
2022-03-22,DAL,1,0,1,0,2,25.066666666666666,L,3,5,,regular_season,2021-22,8479979,J. Oettinger
2022-03-24,SJS,2,0,2,-1,4,17.883333333333333,W,5,2,,regular_season,2021-22,8478039,K. Kahkonen
2022-03-26,CGY,3,1,4,-4,5,19.966666666666665,L,5,9,,regular_season,2021-22,8474593,J. Markstrom
2022-03-28,ARI,1,1,2,2,6,18.566666666666666,W,6,1,,regular_season,2021-22,8478872,K. Vejmelka
2022-03-30,LAK,1,0,1,0,6,20.516666666666666,W,4,3,,regular_season,2021-22,8471734,J. Quick
2022-04-01,STL,0,2,2,2,7,20.883333333333333,W,6,5,,regular_season,2021-22,8476412,J. Binnington
2022-04-03,ANA,1,1,2,1,6,17.316666666666666,W,6,1,,regular_season,2021-22,8476434,J. Gibson
2022-04-07,LAK,0,0,0,-1,3,19.783333333333335,W,3,2,,regular_season,2021-22,8471734,J. Quick
2022-04-09,COL,0,0,0,-1,6,20.566666666666666,L,1,2,,regular_season,2021-22,8475311,D. Kuemper
2022-04-12,MIN,1,0,1,-2,2,18.25,L,1,5,,regular_season,2021-22,8475660,C. Talbot
2022-04-14,NSH,3,0,3,2,4,18.633333333333333,W,4,0,,regular_season,2021-22,8477424,J. Saros
2022-04-16,VGK,0,0,0,0,0,19.933333333333334,W,4,0,,regular_season,2021-22,8480313,L. Thompson
2022-04-20,DAL,0,1,1,1,3,22.1,W,5,2,,regular_season,2021-22,8475809,S. Wedgewood
2022-04-22,COL,0,1,1,-1,4,20.416666666666668,W,6,3,,regular_season,2021-22,8475311,D. Kuemper
2022-04-24,CBJ,1,0,1,-1,5,20.5,L,2,5,,regular_season,2021-22,8478007,E. Merzlikins
2022-04-26,PIT,0,1,1,0,2,19.05,W,5,1,,regular_season,2021-22,8479193,C. DeSmith
2022-04-28,SJS,0,1,1,-1,3,22.583333333333332,W,5,4,,regular_season,2021-22,8473503,J. Reimer
2022-05-02,LAK,1,0,1,0,5,22.566666666666666,L,3,4,1.0,first_round,2021-22,8471734,J. Quick
2022-05-04,LAK,1,0,1,0,4,15.166666666666666,W,6,0,2.0,first_round,2021-22,8471734,J. Quick
2022-05-06,LAK,1,1,2,1,1,14.95,W,8,2,3.0,first_round,2021-22,8471734,J. Quick
2022-05-08,LAK,0,0,0,-2,1,21.633333333333333,L,0,4,4.0,first_round,2021-22,8471734,J. Quick
2022-05-10,LAK,2,1,3,-2,3,20.616666666666667,L,4,5,5.0,first_round,2021-22,8471734,J. Quick
2022-05-12,LAK,0,1,1,0,2,18.416666666666668,W,4,2,6.0,first_round,2021-22,8471734,J. Quick
2022-05-14,LAK,0,1,1,2,1,22.633333333333333,W,2,0,7.0,first_round,2021-22,8471734,J. Quick
2022-05-18,CGY,1,2,3,-2,4,21.983333333333334,L,6,9,1.0,second_round,2021-22,8474593,J. Markstrom
2022-05-20,CGY,1,2,3,3,3,23.266666666666666,W,5,3,2.0,second_round,2021-22,8474593,J. Markstrom
2022-05-22,CGY,0,4,4,4,4,21.616666666666667,W,4,1,3.0,second_round,2021-22,8474593,J. Markstrom
2022-05-24,CGY,0,3,3,1,1,20.616666666666667,W,5,3,4.0,second_round,2021-22,8474593,J. Markstrom
2022-05-26,CGY,0,4,4,2,2,25.8,W,5,4,5.0,second_round,2021-22,8474593,J. Markstrom
2022-05-31,COL,0,2,2,-1,4,23.35,L,6,8,1.0,conf_finals,2021-22,8475311,D. Kuemper
2022-06-02,COL,0,0,0,-1,3,19.5,L,0,4,2.0,conf_finals,2021-22,8480925,P. Francouz
2022-06-04,COL,0,0,0,-2,2,24.483333333333334,L,2,4,3.0,conf_finals,2021-22,8480925,P. Francouz
2022-06-06,COL,0,4,4,1,4,25.35,L,5,6,4.0,conf_finals,2021-22,8480925,P. Francouz
2022-10-12,VAN,1,2,3,0,1,21.766666666666666,W,5,3,,regular_season,2022-23,8477967,T. Demko
2022-10-15,CGY,0,2,2,1,3,25.016666666666666,L,3,4,,regular_season,2022-23,8478435,D. Vladar
2022-10-18,BUF,0,1,1,-1,4,23.366666666666667,L,2,4,,regular_season,2022-23,8477480,E. Comrie
2022-10-20,CAR,1,1,2,1,6,23.883333333333333,W,6,4,,regular_season,2022-23,8475883,F. Andersen
2022-10-22,STL,0,0,0,-1,3,21.183333333333334,L,0,2,,regular_season,2022-23,8476412,J. Binnington
2022-10-24,PIT,1,2,3,2,4,17.283333333333335,W,6,3,,regular_season,2022-23,8477465,T. Jarry
2022-10-26,STL,0,1,1,1,3,24.633333333333333,W,3,1,,regular_season,2022-23,8476412,J. Binnington
2022-10-27,CHI,1,2,3,0,3,22.116666666666667,W,6,5,,regular_season,2022-23,8471774,A. Stalock
2022-10-29,CGY,0,1,1,-1,2,21.983333333333334,W,3,2,,regular_season,2022-23,8474593,J. Markstrom
2022-11-01,NSH,1,4,5,1,3,23.1,W,7,4,,regular_season,2022-23,8477424,J. Saros
2022-11-03,NJD,1,0,1,-1,4,21.216666666666665,L,3,4,,regular_season,2022-23,8478406,M. Blackwood
2022-11-05,DAL,1,0,1,1,3,20.083333333333332,L,2,6,,regular_season,2022-23,8475809,S. Wedgewood
2022-11-07,WSH,1,1,2,3,4,21.133333333333333,L,4,5,,regular_season,2022-23,8479292,C. Lindgren
2022-11-08,TBL,1,0,1,-2,4,21.5,W,3,2,,regular_season,2022-23,8476883,A. Vasilevskiy
2022-11-10,CAR,0,1,1,-2,4,21.416666666666668,L,2,7,,regular_season,2022-23,8481611,P. Kochetkov
2022-11-12,FLA,0,1,1,1,5,23.55,W,4,2,,regular_season,2022-23,8481519,S. Knight
2022-11-16,LAK,0,0,0,-1,1,20.35,L,1,3,,regular_season,2022-23,8477361,C. Petersen
2022-11-19,VGK,1,1,2,2,1,23.483333333333334,W,4,3,,regular_season,2022-23,8478499,A. Hill
2022-11-21,NJD,1,0,1,-1,4,22.883333333333333,L,2,5,,regular_season,2022-23,8477970,V. Vanecek
2022-11-23,NYI,0,0,0,-2,5,22.683333333333334,L,0,3,,regular_season,2022-23,8478009,I. Sorokin
2022-11-26,NYR,1,0,1,-1,3,24.883333333333333,W,4,3,,regular_season,2022-23,8478048,I. Shesterkin
2022-11-28,FLA,1,0,1,2,3,24.1,W,4,3,,regular_season,2022-23,8481519,S. Knight
2022-11-30,CHI,2,1,3,2,6,26.216666666666665,W,5,4,,regular_season,2022-23,8482821,A. Soderblom
2022-12-01,MIN,1,1,2,1,2,20.083333333333332,L,3,5,,regular_season,2022-23,8470594,M. Fleury
2022-12-03,MTL,1,3,4,1,3,22.633333333333333,W,5,3,,regular_season,2022-23,8474596,J. Allen
2022-12-05,WSH,0,0,0,-2,1,23.05,L,2,3,,regular_season,2022-23,8479292,C. Lindgren
2022-12-07,ARI,1,1,2,2,1,17.666666666666668,W,8,2,,regular_season,2022-23,8478971,C. Ingram
2022-12-09,MIN,1,1,2,1,3,20.35,W,5,2,,regular_season,2022-23,8470594,M. Fleury
2022-12-12,MIN,0,0,0,-1,1,24.15,L,1,2,,regular_season,2022-23,8470594,M. Fleury
2022-12-13,NSH,2,3,5,2,5,18.633333333333333,W,6,3,,regular_season,2022-23,8480947,K. Lankinen
2022-12-15,STL,0,1,1,-2,3,28.716666666666665,L,3,4,,regular_season,2022-23,8476412,J. Binnington
2022-12-17,ANA,0,2,2,-2,4,26.916666666666668,L,3,4,,regular_season,2022-23,8480843,L. Dostal
2022-12-19,NSH,0,0,0,-2,4,21.783333333333335,L,3,4,,regular_season,2022-23,8477424,J. Saros
2022-12-21,DAL,0,1,1,0,3,17.166666666666668,W,6,3,,regular_season,2022-23,8479979,J. Oettinger
2022-12-23,VAN,0,1,1,1,4,22.316666666666666,L,2,5,,regular_season,2022-23,8480420,C. Delia
2022-12-27,CGY,0,1,1,1,5,19.166666666666668,W,2,1,,regular_season,2022-23,8474593,J. Markstrom
2023-01-03,SEA,0,1,1,-1,1,23.616666666666667,L,2,5,,regular_season,2022-23,8474889,M. Jones
2023-01-05,NYI,1,1,2,0,8,21.95,W,4,2,,regular_season,2022-23,8478009,I. Sorokin
2023-01-07,COL,0,2,2,0,0,27.416666666666668,L,2,3,,regular_season,2022-23,8480382,A. Georgiev
2023-01-09,LAK,0,0,0,0,1,22.283333333333335,L,3,6,,regular_season,2022-23,8477831,P. Copley
2023-01-11,ANA,1,0,1,0,4,16.566666666666666,W,6,2,,regular_season,2022-23,8476434,J. Gibson
