date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2022-04-21,BOS,0,1,1,1,4,18.583333333333332,W,4,0,,regular_season,2021-22,8480280,J. Swayman
2022-04-23,DET,1,1,2,1,3,17.216666666666665,W,7,2,,regular_season,2021-22,8471306,T. Greiss
2022-04-24,PHI,1,0,1,0,4,18.533333333333335,L,1,4,,regular_season,2021-22,8474889,M. Jones
2022-04-26,EDM,0,0,0,-1,5,22.183333333333334,L,1,5,,regular_season,2021-22,8469608,M. Smith
2022-04-29,CBJ,0,0,0,0,1,17.45,W,5,3,,regular_season,2021-22,8475234,J. Berube
2022-05-03,NYR,0,2,2,0,7,34.81666666666667,W,4,3,1.0,first_round,2021-22,8478048,I. Shesterkin
2022-05-05,NYR,1,1,2,-1,6,19.816666666666666,L,2,5,2.0,first_round,2021-22,8478048,I. Shesterkin
2022-05-07,NYR,0,2,2,1,3,19.716666666666665,W,7,4,3.0,first_round,2021-22,8478048,I. Shesterkin
2022-05-09,NYR,1,2,3,1,2,17.483333333333334,W,7,2,4.0,first_round,2021-22,8478048,I. Shesterkin
2022-05-11,NYR,0,0,0,1,0,10.816666666666666,L,3,5,5.0,first_round,2021-22,8478048,I. Shesterkin
2022-05-15,NYR,0,1,1,0,4,19.9,L,3,4,7.0,first_round,2021-22,8478048,I. Shesterkin
2022-10-13,ARI,1,2,3,1,7,18.366666666666667,W,6,2,,regular_season,2022-23,8478872,K. Vejmelka
2022-10-15,TBL,1,2,3,2,2,19.283333333333335,W,6,2,,regular_season,2022-23,8470880,B. Elliott
2022-10-17,MTL,0,0,0,-2,1,18.966666666666665,L,2,3,,regular_season,2022-23,8478470,S. Montembeault
2022-10-20,LAK,0,1,1,2,3,16.833333333333332,W,6,1,,regular_season,2022-23,8477361,C. Petersen
2022-10-22,CBJ,1,2,3,1,5,20.816666666666666,W,6,3,,regular_season,2022-23,8478007,E. Merzlikins
2022-10-24,EDM,1,0,1,0,3,19.2,L,3,6,,regular_season,2022-23,8475789,J. Campbell
